barcode,title,author,subject,description,category,media,publisher,publocation,pubdate,edition,isbn,type,thumburl,keywords,callnumber
9788120316812,Understanding Electro Mechanical Engineering,Lawrence J. Kamm,Mechatronics,,,,,,,,978-8-12-031681-2,General,,,357
9788120312432,Materials and Processes in Manufacturing,E. paul degarmo J.t. Black Ronald A. Kosher,Manufacturing,,,,,,,,978-8-12-031243-2,General,,,130
9788120312432,Materials and Processes in Manufacturing,E. paul degarmo J.t. Black Ronald A. Kosher,Manufacturing,,,,,,,,978-8-12-031243-2,General,,,129
9788120312432,Materials and Processes in Manufacturing,E. paul degarmo J.t. Black Ronald A. Kosher,Manufacturing,,,,,,,,978-8-12-031243-2,General,,,128
9788120312432,Materials and Processes in Manufacturing,E. paul degarmo J.t. Black Ronald A. Kosher,Manufacturing,,,,,,,,978-8-12-031243-2,General,,,132
9788120312432,Materials and Processes in Manufacturing,E. paul degarmo J.t. Black Ronald A. Kosher,Manufacturing,,,,,,,,978-8-12-031243-2,General,,,133
9788120312432,Materials and Processes in Manufacturing,E. paul degarmo J.t. Black Ronald A. Kosher,Manufacturing,,,,,,,,978-8-12-031243-2,General,,,134
9788120312432,Materials and Processes in Manufacturing,E. paul degarmo J.t. Black Ronald A. Kosher,Manufacturing,,,,,,,,978-8-12-031243-2,General,,,135
9788120312432,Materials and Processes in Manufacturing,E. paul degarmo J.t. Black Ronald A. Kosher,Manufacturing,,,,,,,,978-8-12-031243-2,General,,,136
9788178089904,Manufacturing Processes For Engineering Materials ,Serope Kalpakjian Steven R. Schmid,Manufacturing,,,,,,,,978-8-17-808990-4,General,,,332
9788177581706,Manufacturing Engineering and Technology,Serope Kalpakjian Steven R. Schmid,Manufacturing,,,,,,,,978-8-17-758170-6,General,,,127
9788177581706,Manufacturing Engineering and Technology,Serope Kalpakjian Steven R. Schmid,Manufacturing,,,,,,,,978-8-17-758170-6,General,,,126
9788177581706,Manufacturing Engineering and Technology,Serope Kalpakjian Steven R. Schmid,Manufacturing,,,,,,,,978-8-17-758170-6,General,,,125
9788177581706,Manufacturing Engineering and Technology,Serope Kalpakjian Steven R. Schmid,Manufacturing,,,,,,,,978-8-17-758170-6,General,,,124
9788177581706,Manufacturing Engineering and Technology,Serope Kalpakjian Steven R. Schmid,Manufacturing,,,,,,,,978-8-17-758170-6,General,,,122
9788177581706,Manufacturing Engineering and Technology,Serope Kalpakjian Steven R. Schmid,Manufacturing,,,,,,,,978-8-17-758170-6,General,,,121
9788177581706,Manufacturing Engineering and Technology,Serope Kalpakjian Steven R. Schmid,Manufacturing,,,,,,,,978-8-17-758170-6,General,,,120
9788177581706,Manufacturing Engineering and Technology,Serope Kalpakjian Steven R. Schmid,Manufacturing,,,,,,,,978-8-17-758170-6,General,,,118
9788177581706,Manufacturing Engineering and Technology,Serope Kalpakjian Steven R. Schmid,Manufacturing,,,,,,,,978-8-17-758170-6,General,,,116
9788177581706,Manufacturing Engineering and Technology,Serope Kalpakjian Steven R. Schmid,Manufacturing,,,,,,,,978-8-17-758170-6,General,,,115
9788177581706,Manufacturing Engineering and Technology,Serope Kalpakjian Steven R. Schmid,Manufacturing,,,,,,,,978-8-17-758170-6,General,,,114
9788177581706,Manufacturing Engineering and Technology,Serope Kalpakjian Steven R. Schmid,Manufacturing,,,,,,,,978-8-17-758170-6,General,,,113
9788177581706,Manufacturing Engineering and Technology,Serope Kalpakjian Steven R. Schmid,Manufacturing,,,,,,,,978-8-17-758170-6,General,,,112
9788170311928,Workshop Technology Part two,W. A. J. Chapman,Manufacturing,,,,,,,,978-8-17-031192-8,General,,,345
9788170311928,Workshop Technology Part two,W. A. J. Chapman,Manufacturing,,,,,,,,978-8-17-031192-8,General,,,775
9780135992838,Modern Welding Technology,Howard B. Cary,Manufacturing,,,,,,,,978-0-13-599283-8,General,,,363
9780582658011,Mechanical Engineering Craft Theory - Volume 1,"R.L.Timings,O.Alabi",Manufacturing,,,,,,,,978-0-58-265801-1,General,,,343
9788120306189,"Automation, Production Systems and Computer Intergrated Manufacturing",Mikell P. Groover,Control Systems,,,,,,,,978-8-12-030618-9,General,,,418
9780070530485,Pro/Engineer - Instructor ,David S. Kelly,Designing,,,,,,,,978-0-07-053048-5,General,,,351
9788177228151,CATIA (V5R17) for Engineers and Designers,prof. Sham Tickoo,Designing,,,,,,,,978-8-17-722815-1,General,,,664
9781585030453,Engineering Graphics Principles with Geometric Dimensioning and Tolerencing,E.Max Raisor,Designing,,,,,,,,978-1-58-503045-3,General,,,388
9780713133684,Draughtsmanship (Third Edition),Fraser Reekie,Designing,,,,,,,Third,978-0-71-313368-4,General,,,371
9780534950682,Basic Pro/Engineering in 20 Lessons,Louis Gary Lamit,Designing,,,,,,,,978-0-53-495068-2,General,,,369
9788120322523,Fundamentals of Machine Drawing,"Sadhu Singh, P.L. Sah",Designing,,,,,,,,978-8-12-032252-3,General,,,355
9788129707949,Machine Drawing ,N.D. Junnarkar,Designing,,,,,,,,978-8-12-970794-9,General,,,627
9788177224375,Pro/Engineer Wildfire 4.0 inSimple Steps,Kogent Solutions Inc.,Designing,,,,,,,,978-8-17-722437-5,General,,,677
9780766838475,Autocad 2002 for Architecture,"Alan Jefferis, Michael, Tereasa Jefferis",Designing,,,,,,,,978-0-76-683847-5,General,,,384
9780727321015,Transmission and Display of Pictorial Information,D.E.Pearson,Designing,,,,,,,,978-0-72-732101-5,General,,,480
780070841741,The Finite Element Method (Fourth Edition) - Volume 1,"O.C.Zienkiewicz, R.L.Taylor",Mechanics,,,,,,,Fourth,78-0-07-084174-1,General,,,439
9789812531544,The Finite Element Method for Engineers (Fourth Edition),"Kenneth H.Huebner, Donald L.Dewhirst,Douglas E.Smith,Ted G.Byrom",Mechanics,,,,,,,Fourth,978-9-81-253154-4,General,,,774
9788178088198,Engineering Graphics with AutoCAD 2002,James D. Bethune,Designing,,,,,,,,978-8-17-808819-8,General,,,665
9789814126694,Material Science and Engineering An Introduction,"William D. Callister, Jr",Manufacturing,,,,,,,,978-9-81-412669-4,General,,,407
9788120329140,Engineering Materials - Properties and Selection,"Kenneth G. Budinski, Michael K. Budinski",Manufacturing,,,,,,,,978-8-12-032914-0,General,,,411
9788180140532,Automobile Engineering -  Vol. 2,Dr.Kirpal Singh,Automotive,,,,,,,,978-8-18-014053-2,General,,,316
9788180140532,Automobile Engineering -  Vol. 2,Dr.Kirpal Singh,Automotive,,,,,,,,978-8-18-014053-2,General,,,314
9788180140532,Automobile Engineering -  Vol. 2,Dr.Kirpal Singh,Automotive,,,,,,,,978-8-18-014053-2,General,,,313
9788180140532,Automobile Engineering -  Vol. 2,Dr.Kirpal Singh,Automotive,,,,,,,,978-8-18-014053-2,General,,,312
9788180140532,Automobile Engineering -  Vol. 2,Dr.Kirpal Singh,Automotive,,,,,,,,978-8-18-014053-2,General,,,309
9788180140532,Automobile Engineering -  Vol. 2,Dr.Kirpal Singh,Automotive,,,,,,,,978-8-18-014053-2,General,,,311
9788180140990,Automobile Engineering - Vol. 1,Dr.Kirpal Singh,Automotive,,,,,,,,978-8-18-014099-0,General,,,498
9788180140990,Automobile Engineering - Vol. 1,Dr.Kirpal Singh,Automotive,,,,,,,,978-8-18-014099-0,General,,,494
9788180140990,Automobile Engineering - Vol. 1,Dr.Kirpal Singh,Automotive,,,,,,,,978-8-18-014099-0,General,,,499
9788180140990,Automobile Engineering - Vol. 1,Dr.Kirpal Singh,Automotive,,,,,,,,978-8-18-014099-0,General,,,501
9788180140990,Automobile Engineering - Vol. 1,Dr.Kirpal Singh,Automotive,,,,,,,,978-8-18-014099-0,General,,,496
9788180140990,Automobile Engineering - Vol. 1,Dr.Kirpal Singh,Automotive,,,,,,,,978-8-18-014099-0,General,,,497
9780827372214,Medium/Heavy Duty -Truck Diesel Engines,"John F. Kirshaw, Sean Bennett",Automotive,,,,,,,,978-0-82-737221-4,General,,,409
9780827372214,Medium/Heavy Duty -Truck Diesel Engines,"John F. Kirshaw, Sean Bennett",Automotive,,,,,,,,978-0-82-737221-4,General,,,413
9780070634350,Automotive Mechanics,"William H. Crouse, Donald L. Anglim",Automotive,,,,,,,,978-0-07-063435-0,General,,,320
9780070634350,Automotive Mechanics,"William H. Crouse, Donald L. Anglim",Automotive,,,,,,,,978-0-07-063435-0,General,,,325
9780070634350,Automotive Mechanics,"William H. Crouse, Donald L. Anglim",Automotive,,,,,,,,978-0-07-063435-0,General,,,327
9780070634350,Automotive Mechanics,"William H. Crouse, Donald L. Anglim",Automotive,,,,,,,,978-0-07-063435-0,General,,,319
9780070634350,Automotive Mechanics,"William H. Crouse, Donald L. Anglim",Automotive,,,,,,,,978-0-07-063435-0,General,,,321
9780070634350,Automotive Mechanics,"William H. Crouse, Donald L. Anglim",Automotive,,,,,,,,978-0-07-063435-0,General,,,326
9780070634350,Automotive Mechanics,"William H. Crouse, Donald L. Anglim",Automotive,,,,,,,,978-0-07-063435-0,General,,,768
9780070634350,Automotive Mechanics,"William H. Crouse, Donald L. Anglim",Automotive,,,,,,,,978-0-07-063435-0,General,,,383
9780074621226,Internal Combustion Engines,V. Ganeshan,Automotive,,,,,,,,978-0-07-462122-6,General,,,769
